feature,mean,scale
aa_000,35183.98458333333,38258.45095678616
ac_000,582.1983,792.8656266630409
ad_000,208.92626666666666,219.32562191878588
ae_000,0.0,1.0
af_000,0.0,1.0
ag_000,0.0,1.0
ag_001,0.0,1.0
ag_002,0.0,1.0
ag_003,0.0,1.0
ag_004,31100.623166666668,45233.82828504492
ag_005,568267.1553083333,744755.2974239064
ag_006,1213296.0165916667,1376108.7937576103
ag_007,348457.833175,449377.78995820443
ag_008,15940.572266666666,22900.47257601418
ag_009,206.89515,347.0668020566226
ah_000,1120499.5373625,1213040.6469455846
ai_000,0.0,1.0
aj_000,0.0,1.0
ak_000,0.0,1.0
al_000,719.1725333333334,1156.0752851633765
am_0,1414.7682666666667,2270.115707660367
an_000,2201041.766933333,2368037.993756715
ao_000,1891137.5861166667,2033782.6331793345
ap_000,499129.8552875,551454.1646767425
aq_000,252176.93109583334,290797.7592853505
ar_000,0.0,1.0
as_000,0.0,1.0
at_000,0.0,1.0
au_000,0.0,1.0
av_000,400.21976666666666,534.220029079104
ax_000,164.73503333333332,204.34243789775752
ay_000,0.0,1.0
ay_001,0.0,1.0
ay_002,0.0,1.0
ay_003,0.0,1.0
ay_004,0.0,1.0
ay_005,23944.481845833332,36391.76901441867
ay_006,744948.716725,971367.5703359128
ay_007,837679.6217,1054545.7565519388
ay_008,387523.817675,528286.8836186022
ay_009,0.0,1.0
az_000,2957.6294541666666,2719.6156021495317
az_001,1364.4604333333334,1660.8275400437615
az_002,2129.0104666666666,2587.7119096588876
az_003,26749.380529166665,38817.48490004752
az_004,969745.9223666667,1353239.6641830318
az_005,1144374.0506916668,1418767.176846551
az_006,2656.9884,3904.179000058626
az_007,0.0,1.0
az_008,0.0,1.0
az_009,0.0,1.0
ba_000,870525.3345333333,963323.6386099294
ba_001,555795.7263666666,610874.3070772013
ba_002,232722.06059583335,259486.08434822818
ba_003,166019.1331,186859.4993935112
ba_004,131098.01128333333,150146.00559414554
ba_005,121623.26479166666,143954.4398567871
ba_006,130421.34981666667,160321.01338924715
ba_007,117162.49940833333,169745.18729882504
ba_008,1086.3653666666667,1741.6249642715466
ba_009,33.17466666666667,55.35845636897363
bb_000,2722294.1513083335,2920547.2720582495
bc_000,81.0348,115.07295709951433
bd_000,260.7998666666667,353.13226877000193
be_000,394.3933333333333,481.76155134626043
bf_000,11.4418,16.29292932818814
bg_000,1121285.11685,1214030.8925033014
bh_000,33498.3088125,37360.48220619268
bi_000,260072.255925,286877.9160075771
bj_000,228068.7323,259937.73560045206
bk_000,213394.013625,46214.441223783535
bs_000,76900.70045833333,72917.04192057406
bt_000,35227.65684447917,38153.262260949006
bu_000,2717393.1925666668,2913531.744740627
bv_000,2717393.5716333333,2913531.695797826
bx_000,2471348.5275541665,2594034.9912487315
by_000,14118.23975,15548.382110488858
bz_000,7786.218083333333,11443.192874886638
ca_000,38171.8146,35567.837500513866
cb_000,404105.70533333335,367403.13516816805
cc_000,2285230.7826166665,2414801.947912274
ce_000,48380.53976666667,64775.04936797027
cf_000,1.5549166666666667,1.3955945542034127
cg_000,58.496116666666666,53.80248493257279
ch_000,0.0,1.0
ci_000,2096238.167608667,2274430.744492344
cj_000,0.0,1.0
ck_000,373725.8993966667,426388.9751291637
cl_000,0.0,1.0
cm_000,36.27791666666667,52.641718997322414
cn_000,0.0,1.0
cn_001,0.0,1.0
cn_002,4827.8961,7479.356156368327
cn_003,148488.33221666666,203037.8534822814
cn_004,795849.1582375,921090.52248264
cn_005,972441.5253333333,1116630.307133609
cn_006,271898.08795,352790.78550550016
cn_007,20363.858666666667,25659.081955325128
cn_008,3436.7145666666665,4255.725579435444
cn_009,180.96653333333333,257.71076541990936
co_000,22.346666666666668,28.912658511839105
cp_000,48.796216666666666,63.47521922519362
cq_000,2717393.5497,2913531.708291292
cs_000,4093.491,3544.430316292356
cs_001,475.7875666666667,514.1952471309696
cs_002,61253.2381,80554.64338769621
cs_003,196822.69844166667,232867.80893675092
cs_004,141163.95394166667,164788.05074566515
cs_005,1414937.3736666667,1567100.4772414828
cs_006,429333.645425,501349.48085972655
cs_007,11558.2784,13034.203614731387
cs_008,93.82773333333333,113.10017414160875
cs_009,0.0,1.0
ct_000,341.88603333333333,358.09556645063185
cu_000,443.4764666666667,440.47280844510203
cv_000,1446120.0456166666,1473081.1863207293
cx_000,63743.21960833333,65617.57756216299
cy_000,0.0,1.0
cz_000,1568.0035666666668,2377.8630414976833
da_000,0.0,1.0
db_000,6.755533333333333,11.142511807587292
dc_000,1741158.4535,1620967.6754415177
dd_000,1807.1600833333334,1943.1693096476847
de_000,207.56593333333333,180.9229625728279
df_000,0.0,1.0
dg_000,0.0,1.0
dh_000,0.0,1.0
di_000,0.0,1.0
dj_000,0.0,1.0
dk_000,0.0,1.0
dl_000,0.0,1.0
dm_000,0.0,1.0
dn_000,18677.2233625,20737.785064274078
do_000,22031.282766666667,27105.265001508033
dp_000,5197.999683333333,6403.772420057043
dq_000,0.0,1.0
dr_000,0.0,1.0
ds_000,62516.04056666667,71169.55493916498
dt_000,11100.746066666667,12663.801252391973
du_000,1906209.0275833334,2880664.7315252493
dv_000,291080.7558666667,437521.90268523304
dx_000,4247.257270833334,7250.5557514614175
dy_000,17.730633333333333,28.560439567092725
dz_000,0.0,1.0
ea_000,0.0,1.0
eb_000,2236116.47175,3101767.654938563
ec_00,878.6862270416667,796.0541242819162
ed_000,966.0816666666667,900.837936736619
ee_000,387148.3884666667,439255.5265771196
ee_001,451894.7651083333,512741.34500839806
ee_002,293029.7243333333,330381.49313498073
ee_003,144054.8302,163853.96411794855
ee_004,306322.00995,353415.4910982126
ee_005,265339.1850666667,299808.4034880535
ee_006,177944.4449,218943.06970919616
ee_007,107496.72077916667,137375.68054428298
ee_008,81655.24830833334,120393.69083258987
ee_009,1204.7229166666666,1943.7255389607249
ef_000,0.0,1.0
eg_000,0.0,1.0
