,median
aa_000,30776.0
ac_000,152.0
ad_000,126.0
ae_000,0.0
af_000,0.0
ag_000,0.0
ag_001,0.0
ag_002,0.0
ag_003,0.0
ag_004,3672.0
ag_005,176020.0
ag_006,930336.0
ag_007,119204.0
ag_008,1786.0
ag_009,0.0
ah_000,1002420.0
ai_000,0.0
aj_000,0.0
ak_000,0.0
al_000,0.0
am_0,0.0
an_000,1918629.0
ao_000,1643556.0
ap_000,357281.0
aq_000,178792.0
ar_000,0.0
as_000,0.0
at_000,0.0
au_000,0.0
av_000,116.0
ax_000,66.0
ay_000,0.0
ay_001,0.0
ay_002,0.0
ay_003,0.0
ay_004,0.0
ay_005,0.0
ay_006,168202.0
ay_007,348622.0
ay_008,94812.0
ay_009,0.0
az_000,2098.0
az_001,636.0
az_002,1016.0
az_003,3570.0
az_004,81614.0
az_005,527034.0
az_006,292.0
az_007,0.0
az_008,0.0
az_009,0.0
ba_000,679486.0
ba_001,443641.0
ba_002,186046.0
ba_003,134149.0
ba_004,101874.0
ba_005,83992.0
ba_006,70116.0
ba_007,4470.0
ba_008,22.0
ba_009,0.0
bb_000,2360728.0
bc_000,16.0
bd_000,66.0
be_000,180.0
bf_000,2.0
bg_000,1002718.0
bh_000,26352.0
bi_000,179842.0
bj_000,154404.0
bk_000,210660.0
bs_000,50540.0
bt_000,30839.86
bu_000,2359656.0
bv_000,2359656.0
bx_000,2258824.0
by_000,12628.0
bz_000,1036.0
ca_000,25436.0
cb_000,278990.0
cc_000,2108912.0
ce_000,3409.0
cf_000,2.0
cg_000,46.0
ch_000,0.0
ci_000,1858641.12
cj_000,0.0
ck_000,250267.2
cl_000,0.0
cm_000,8.0
cn_000,0.0
cn_001,0.0
cn_002,0.0
cn_003,34994.0
cn_004,518462.0
cn_005,703524.0
cn_006,96266.0
cn_007,9976.0
cn_008,1852.0
cn_009,24.0
co_000,8.0
cp_000,14.0
cq_000,2359656.0
cs_000,3192.0
cs_001,360.0
cs_002,20570.0
cs_003,121780.0
cs_004,91080.0
cs_005,1220860.0
cs_006,240744.0
cs_007,6104.0
cs_008,46.0
cs_009,0.0
ct_000,210.0
cu_000,278.0
cv_000,1181117.0
cx_000,44465.0
cy_000,0.0
cz_000,202.0
da_000,0.0
db_000,0.0
dc_000,1734472.0
dd_000,1354.0
de_000,144.0
df_000,0.0
dg_000,0.0
dh_000,0.0
di_000,0.0
dj_000,0.0
dk_000,0.0
dl_000,0.0
dm_000,0.0
dn_000,14330.0
do_000,10377.0
dp_000,2532.0
dq_000,0.0
dr_000,0.0
ds_000,47940.0
dt_000,8316.0
du_000,185400.0
dv_000,30592.0
dx_000,0.0
dy_000,0.0
dz_000,0.0
ea_000,0.0
eb_000,622110.0
ec_00,754.4
ed_000,832.0
ee_000,260704.0
ee_001,346940.0
ee_002,233796.0
ee_003,112086.0
ee_004,221518.0
ee_005,189988.0
ee_006,92432.0
ee_007,41098.0
ee_008,3812.0
ee_009,0.0
ef_000,0.0
eg_000,0.0
